
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0057                          C6                                18   1      2   1   1 2           2 0 GND                 (2-5-13)
10-0057                          C7                                16   1      1   1   1 1           1 0 SWD_nRST            (692-5-13)
10-0057                          C7                                16   1      2   1   1 2           2 0 GND                 (2-5-13)
10-0059                          C20                               58   1      1   1   1 1           1 0 VCC                 (2-6-13)
10-0059                          C20                               58   1      2   1   1 2           2 0 XSIG010868          (744-1-13)
10-0062                          C21                               64   1      1   1   1 1           1 0 XSIG030284          (692-53-13)
10-0062                          C21                               64   1      2   1   1 2           2 0 GND                 (2-5-13)
10-0062                          C22                               66   1      1   1   1 1           1 0 XSIG030233          (692-46-13)
10-0062                          C22                               66   1      2   1   1 2           2 0 GND                 (2-5-13)
10-0062                          C23                               65   1      1   1   1 1           1 0 XSIG030153          (692-33-13)
10-0062                          C23                               65   1      2   1   1 2           2 0 GND                 (2-5-13)
10-0099                          C24                               74   1      1   1   1 1           1 0 XSIG030321          (692-54-13)
10-0099                          C24                               74   1      2   1   1 2           2 0 XSIG030322          (692-55-13)
10-0099                          C25                               73   1      1   1   1 1           1 0 XSIG030321          (692-54-13)
10-0099                          C25                               73   1      2   1   1 2           2 0 XSIG030322          (692-55-13)
10-0099                          C26                               72   1      1   1   1 1           1 0 XSIG030322          (692-55-13)
10-0099                          C26                               72   1      2   1   1 2           2 0 XSIG030324          (692-56-13)
10-0099                          C27                               71   1      1   1   1 1           1 0 XSIG030322          (692-55-13)
10-0099                          C27                               71   1      2   1   1 2           2 0 XSIG030324          (692-56-13)
10-0099                          C28                               78   1      1   1   1 1           1 0 XSIG030326          (692-57-13)
10-0099                          C28                               78   1      2   1   1 2           2 0 XSIG030327          (692-58-13)
10-0099                          C29                               77   1      1   1   1 1           1 0 XSIG030326          (692-57-13)
10-0099                          C29                               77   1      2   1   1 2           2 0 XSIG030327          (692-58-13)
10-0099                          C30                               76   1      1   1   1 1           1 0 XSIG030327          (692-58-13)
10-0099                          C30                               76   1      2   1   1 2           2 0 XSIG030329          (692-59-13)
10-0099                          C31                               75   1      1   1   1 1           1 0 XSIG030327          (692-58-13)
10-0099                          C31                               75   1      2   1   1 2           2 0 XSIG030329          (692-59-13)
10-0099                          C32                               70   1      1   1   1 1           1 0 XSIG030335          (692-62-13)
10-0099                          C32                               70   1      2   1   1 2           2 0 XSIG030336          (692-63-13)
