
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
70-0083                          J10                               50   1      6   6   1 6           6 0 B3                  (1115-20-13)
70-0083                          J10                               50   1      7   7   1 7           7 0 P_VCC               (692-1-13)
70-0083                          J10                               50   1      8   8   1 8           8 0 P_VCC               (692-1-13)
70-0083                          J11                               51   1      1   1   1 1           1 0 G4                  (1115-13-13)
70-0083                          J11                               51   1      2   2   1 2           2 0 G5                  (1115-14-13)
70-0083                          J11                               51   1      3   3   1 3           3 0 R4                  (1115-5-13)
70-0083                          J11                               51   1      4   4   1 4           4 0 R5                  (1115-6-13)
70-0083                          J11                               51   1      5   5   1 5           5 0 B4                  (1115-21-13)
70-0083                          J11                               51   1      6   6   1 6           6 0 B5                  (1115-22-13)
70-0083                          J11                               51   1      7   7   1 7           7 0 P_VCC               (692-1-13)
70-0083                          J11                               51   1      8   8   1 8           8 0 P_VCC               (692-1-13)
70-0083                          J12                               52   1      1   1   1 1           1 0 G6                  (1115-15-13)
70-0083                          J12                               52   1      2   2   1 2           2 0 G7                  (1115-16-13)
70-0083                          J12                               52   1      3   3   1 3           3 0 R6                  (1115-7-13)
70-0083                          J12                               52   1      4   4   1 4           4 0 R7                  (1115-8-13)
70-0083                          J12                               52   1      5   5   1 5           5 0 B6                  (1115-23-13)
70-0083                          J12                               52   1      6   6   1 6           6 0 B7                  (1115-24-13)
70-0083                          J12                               52   1      7   7   1 7           7 0 P_VCC               (692-1-13)
70-0083                          J12                               52   1      8   8   1 8           8 0 P_VCC               (692-1-13)
80-0001                          SW1                                2   1      1   1   1 1           1 0                     (0-0-0)
80-0001                          SW1                                2   1      2   1   1 2           2 0 GND                 (2-5-13)
80-0001                          SW1                                2   1      1   1   2 3           3 0 SWD_nRST            (692-5-13)
80-0001                          SW1                                2   1      2   1   2 4           4 0                     (0-0-0)
81-0013                          QZ1                               12   1      1   1   1 1           1 0 XSIG020284          (71-15-13)
81-0013                          QZ1                               12   1      2   2   1 2           2 0 XSIG020285          (71-16-13)
