
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0258                          U7                               102   1     15  15   1 6           7 0 VCC                 (43-2-13)
40-0258                          U7                               102   1     16  16   1 26         27 0 VCC                 (43-2-13)
40-0258                          U7                               102   1     17  17   1 30         31 0 VCC                 (43-2-13)
40-0258                          U7                               102   1     18  18   1 22         23 0                     (0-0-0)
40-0258                          U7                               102   1     19  19   1 23         24 0                     (0-0-0)
40-0258                          U7                               102   1     20  20   1 1           2 0 CODEC_MCK_1         (1001-29-13)
40-0258                          U7                               102   1     21  21   1 19         20 0                     (0-0-0)
40-0258                          U7                               102   1     22  22   1 11         12 0 CODEC_MISO          (1001-19-13)
40-0258                          U7                               102   1     23  23   1 10         11 0 CODEC_MOSI          (1001-20-13)
40-0258                          U7                               102   1     24  24   1 18         19 0 CODEC_REF_1         (1001-83-13)
40-0258                          U7                               102   1     25  25   1 31         32 0 CODEC_nRST_1        (1001-36-13)
40-0258                          U7                               102   1     26  26   1 8           9 0 CODEC_SCK           (1001-21-13)
40-0258                          U7                               102   1     27  27   1 12         13 0 VCC                 (43-2-13)
40-0258                          U7                               102   1     28  28   1 9          10 0 CODEC_CS_1          (1001-50-13)
40-0258                          U7                               102   1     29  29   1 3           4 0 CODEC_WS_1          (1001-30-13)
40-0258                          U7                               102   2      1   1   2 PAD         1 0 GND                 (43-1-13)
40-0258                          U7                               102   2      1   1   3 7           8 0 GND                 (43-1-13)
40-0258                          U7                               102   2      1   1   4 28         29 0 GND                 (43-1-13)
40-0258                          U7                               102   2      1   1   5 17         18 0 GND                 (43-1-13)
40-0258                          U8                               101   1      1   1   1 24         25 0 CODEC_AVDD_2        (1049-12-13)
40-0258                          U8                               101   1      2   2   1 2           3 0 CODEC_CK_2          (1001-27-13)
40-0258                          U8                               101   1      3   3   1 4           5 0                     (0-0-0)
40-0258                          U8                               101   1      4   4   1 5           6 0 CODEC_DOUT_2        (1001-22-13)
40-0258                          U8                               101   1      5   5   1 29         30 0 CODEC_DVDD_2        (1049-13-13)
40-0258                          U8                               101   1      6   6   1 32         33 0 CODEC_INT_2         (1001-37-13)
40-0258                          U8                               101   1      7   7   1 25         26 0                     (0-0-0)
40-0258                          U8                               101   1      8   8   1 27         28 0                     (0-0-0)
40-0258                          U8                               101   1      9   9   1 13         14 0 LNA_OUT_B_2         (1049-9-13)
40-0258                          U8                               101   1     10  10   1 14         15 0 LNA_OUT_A_2         (1049-8-13)
40-0258                          U8                               101   1     11  11   1 15         16 0                     (0-0-0)
40-0258                          U8                               101   1     12  12   1 16         17 0                     (0-0-0)
40-0258                          U8                               101   1     13  13   1 21         22 0                     (0-0-0)
40-0258                          U8                               101   1     14  14   1 20         21 0                     (0-0-0)
40-0258                          U8                               101   1     15  15   1 6           7 0 VCC                 (43-2-13)
40-0258                          U8                               101   1     16  16   1 26         27 0 VCC                 (43-2-13)
40-0258                          U8                               101   1     17  17   1 30         31 0 VCC                 (43-2-13)
40-0258                          U8                               101   1     18  18   1 22         23 0                     (0-0-0)
40-0258                          U8                               101   1     19  19   1 23         24 0                     (0-0-0)
40-0258                          U8                               101   1     20  20   1 1           2 0 CODEC_MCK_2         (1001-23-13)
40-0258                          U8                               101   1     21  21   1 19         20 0                     (0-0-0)
40-0258                          U8                               101   1     22  22   1 11         12 0 CODEC_MISO          (1001-19-13)
40-0258                          U8                               101   1     23  23   1 10         11 0 CODEC_MOSI          (1001-20-13)
40-0258                          U8                               101   1     24  24   1 18         19 0 CODEC_REF_2         (1049-14-13)
40-0258                          U8                               101   1     25  25   1 31         32 0 CODEC_nRST_2        (1001-38-13)
40-0258                          U8                               101   1     26  26   1 8           9 0 CODEC_SCK           (1001-21-13)
40-0258                          U8                               101   1     27  27   1 12         13 0 VCC                 (43-2-13)
40-0258                          U8                               101   1     28  28   1 9          10 0 CODEC_CS_2          (1001-51-13)
40-0258                          U8                               101   1     29  29   1 3           4 0 CODEC_WS_2          (1001-28-13)
40-0258                          U8                               101   2      1   1   2 PAD         1 0 GND                 (43-1-13)
40-0258                          U8                               101   2      1   1   3 7           8 0 GND                 (43-1-13)
40-0258                          U8                               101   2      1   1   4 28         29 0 GND                 (43-1-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0258                          U8                               101   2      1   1   5 17         18 0 GND                 (43-1-13)
40-0258                          U9                               100   1      1   1   1 24         25 0 CODEC_AVDD_3        (1049-24-13)
40-0258                          U9                               100   1      2   2   1 2           3 0 CODEC_CK_3          (1001-25-13)
40-0258                          U9                               100   1      3   3   1 4           5 0                     (0-0-0)
40-0258                          U9                               100   1      4   4   1 5           6 0 CODEC_DOUT_3        (1001-26-13)
40-0258                          U9                               100   1      5   5   1 29         30 0 CODEC_DVDD_3        (1049-25-13)
40-0258                          U9                               100   1      6   6   1 32         33 0 CODEC_INT_3         (1001-39-13)
40-0258                          U9                               100   1      7   7   1 25         26 0                     (0-0-0)
40-0258                          U9                               100   1      8   8   1 27         28 0                     (0-0-0)
40-0258                          U9                               100   1      9   9   1 13         14 0 LNA_OUT_B_3         (1049-21-13)
40-0258                          U9                               100   1     10  10   1 14         15 0 LNA_OUT_A_3         (1049-20-13)
40-0258                          U9                               100   1     11  11   1 15         16 0                     (0-0-0)
40-0258                          U9                               100   1     12  12   1 16         17 0                     (0-0-0)
40-0258                          U9                               100   1     13  13   1 21         22 0                     (0-0-0)
40-0258                          U9                               100   1     14  14   1 20         21 0                     (0-0-0)
40-0258                          U9                               100   1     15  15   1 6           7 0 VCC                 (43-2-13)
40-0258                          U9                               100   1     16  16   1 26         27 0 VCC                 (43-2-13)
40-0258                          U9                               100   1     17  17   1 30         31 0 VCC                 (43-2-13)
40-0258                          U9                               100   1     18  18   1 22         23 0                     (0-0-0)
40-0258                          U9                               100   1     19  19   1 23         24 0                     (0-0-0)
40-0258                          U9                               100   1     20  20   1 1           2 0 CODEC_MCK_3         (1001-24-13)
40-0258                          U9                               100   1     21  21   1 19         20 0                     (0-0-0)
40-0258                          U9                               100   1     22  22   1 11         12 0 CODEC_MISO          (1001-19-13)
40-0258                          U9                               100   1     23  23   1 10         11 0 CODEC_MOSI          (1001-20-13)
40-0258                          U9                               100   1     24  24   1 18         19 0 CODEC_REF_3         (1049-26-13)
40-0258                          U9                               100   1     25  25   1 31         32 0 CODEC_nRST_3        (1001-40-13)
40-0258                          U9                               100   1     26  26   1 8           9 0 CODEC_SCK           (1001-21-13)
40-0258                          U9                               100   1     27  27   1 12         13 0 VCC                 (43-2-13)
40-0258                          U9                               100   1     28  28   1 9          10 0 CODEC_CS_3          (1001-52-13)
40-0258                          U9                               100   1     29  29   1 3           4 0 CODEC_WS_3          (1001-18-13)
40-0258                          U9                               100   2      1   1   2 PAD         1 0 GND                 (43-1-13)
40-0258                          U9                               100   2      1   1   3 7           8 0 GND                 (43-1-13)
40-0258                          U9                               100   2      1   1   4 28         29 0 GND                 (43-1-13)
40-0258                          U9                               100   2      1   1   5 17         18 0 GND                 (43-1-13)
40-0259                          U13                              111   1      1   1   1 5           5 0 XSIG040152          (1049-3-13)
40-0259                          U13                              111   1      2   2   1 4           4 0 GND                 (43-1-13)
40-0259                          U13                              111   1      3   3   1 3           3 0 BOB_OUT_1           (1001-77-13)
40-0259                          U13                              111   1      4   4   1 2           2 0 XSIG040064          (1001-79-13)
40-0259                          U13                              111   1      5   5   1 1           1 0 LNA_OUT_B_1         (1001-76-13)
40-0259                          U13                              111   1      6   6   1 10         10 0 VCC_LNA             (1001-70-13)
40-0259                          U13                              110   1      1   1   2 6           6 0 XSIG040154          (1049-4-13)
40-0259                          U13                              110   1      2   2   2 4           4 0 GND                 (43-1-13)
40-0259                          U13                              110   1      3   3   2 7           7 0 BOB_OUT_1           (1001-77-13)
40-0259                          U13                              110   1      4   4   2 8           8 0 LNA_OUT_A_1         (1001-75-13)
40-0259                          U13                              110   1      5   5   2 9           9 0 LNA_OUT_A_1         (1001-75-13)
40-0259                          U13                              110   1      6   6   2 10         10 0 VCC_LNA             (1001-70-13)
40-0259                          U14                              109   1      1   1   1 5           5 0 XSIG050238          (1049-15-13)
40-0259                          U14                              109   1      2   2   1 4           4 0 GND                 (43-1-13)
40-0259                          U14                              109   1      3   3   1 3           3 0 BOB_OUT_2           (1049-10-13)
40-0259                          U14                              109   1      4   4   1 2           2 0 XSIG050212          (1049-11-13)
40-0259                          U14                              109   1      5   5   1 1           1 0 LNA_OUT_B_2         (1049-9-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0259                          U14                              109   1      6   6   1 10         10 0 VCC_LNA             (1001-70-13)
40-0259                          U14                              108   1      1   1   2 6           6 0 XSIG050239          (1049-16-13)
40-0259                          U14                              108   1      2   2   2 4           4 0 GND                 (43-1-13)
40-0259                          U14                              108   1      3   3   2 7           7 0 BOB_OUT_2           (1049-10-13)
40-0259                          U14                              108   1      4   4   2 8           8 0 LNA_OUT_A_2         (1049-8-13)
40-0259                          U14                              108   1      5   5   2 9           9 0 LNA_OUT_A_2         (1049-8-13)
40-0259                          U14                              108   1      6   6   2 10         10 0 VCC_LNA             (1001-70-13)
40-0259                          U15                              107   1      1   1   1 5           5 0 XSIG060238          (1049-27-13)
40-0259                          U15                              107   1      2   2   1 4           4 0 GND                 (43-1-13)
40-0259                          U15                              107   1      3   3   1 3           3 0 BOB_OUT_3           (1049-22-13)
40-0259                          U15                              107   1      4   4   1 2           2 0 XSIG060212          (1049-23-13)
40-0259                          U15                              107   1      5   5   1 1           1 0 LNA_OUT_B_3         (1049-21-13)
40-0259                          U15                              107   1      6   6   1 10         10 0 VCC_LNA             (1001-70-13)
40-0259                          U15                              106   1      1   1   2 6           6 0 XSIG060239          (1049-28-13)
40-0259                          U15                              106   1      2   2   2 4           4 0 GND                 (43-1-13)
40-0259                          U15                              106   1      3   3   2 7           7 0 BOB_OUT_3           (1049-22-13)
40-0259                          U15                              106   1      4   4   2 8           8 0 LNA_OUT_A_3         (1049-20-13)
40-0259                          U15                              106   1      5   5   2 9           9 0 LNA_OUT_A_3         (1049-20-13)
40-0259                          U15                              106   1      6   6   2 10         10 0 VCC_LNA             (1001-70-13)
40-0260                          U10                              105   1      1   1   1 5           5 0 XSIG040156          (1049-5-13)
40-0260                          U10                              105   1      2   2   1 2           2 0 GND                 (43-1-13)
40-0260                          U10                              105   1      3   3   1 3           3 0 XSIG040039          (1001-74-13)
40-0260                          U10                              105   1      4   4   1 4           4 0 BOB_IN_1            (1001-78-13)
40-0260                          U10                              105   1      5   5   1 1           1 0 BOB_IN_1            (1001-78-13)
40-0260                          U10                              105   1      6   6   1 6           6 0 VCC_LNA             (1001-70-13)
40-0260                          U11                              104   1      1   1   1 5           5 0 XSIG050240          (1049-17-13)
40-0260                          U11                              104   1      2   2   1 2           2 0 GND                 (43-1-13)
40-0260                          U11                              104   1      3   3   1 3           3 0 XSIG050194          (1049-7-13)
40-0260                          U11                              104   1      4   4   1 4           4 0 BOB_IN_2            (1049-6-13)
40-0260                          U11                              104   1      5   5   1 1           1 0 BOB_IN_2            (1049-6-13)
40-0260                          U11                              104   1      6   6   1 6           6 0 VCC_LNA             (1001-70-13)
40-0260                          U12                              103   1      1   1   1 5           5 0 XSIG060240          (1049-29-13)
40-0260                          U12                              103   1      2   2   1 2           2 0 GND                 (43-1-13)
40-0260                          U12                              103   1      3   3   1 3           3 0 XSIG060194          (1049-19-13)
40-0260                          U12                              103   1      4   4   1 4           4 0 BOB_IN_3            (1049-18-13)
40-0260                          U12                              103   1      5   5   1 1           1 0 BOB_IN_3            (1049-18-13)
40-0260                          U12                              103   1      6   6   1 6           6 0 VCC_LNA             (1001-70-13)
40-0262                          U2                                72   1      1   1   1 94         94 0 XSIG010409          (1001-17-13)
40-0262                          U2                                72   1      2   2   1 37         37 0 XSIG010408          (1001-16-13)
40-0262                          U2                                72   1      3   3   1 90         90 0                     (0-0-0)
40-0262                          U2                                72   1      4   4   1 76         76 0 SWD_SWCLK/TCK       (1001-11-13)
40-0262                          U2                                72   1      5   5   1 77         77 0 SWD_TDI             (1001-9-13)
40-0262                          U2                                72   1      6   6   1 89         89 0 SWD_SWO/TDO         (1001-10-13)
40-0262                          U2                                72   1      7   7   1 72         72 0 SWD_SWDIO/TMS       (1001-12-13)
40-0262                          U2                                72   1      8   8   1 23         23 0                     (0-0-0)
40-0262                          U2                                72   1      9   9   1 24         24 0                     (0-0-0)
40-0262                          U2                                72   1     10  10   1 25         25 0 CODEC_CS_1          (1001-50-13)
40-0262                          U2                                72   1     11  11   1 26         26 0 LED_STM             (1001-14-13)
40-0262                          U2                                72   1     12  12   1 29         29 0 CODEC_WS_3          (1001-18-13)
40-0262                          U2                                72   1     13  13   1 30         30 0 CODEC_SCK           (1001-21-13)
40-0262                          U2                                72   1     14  14   1 31         31 0 CODEC_MISO          (1001-19-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0262                          U2                                72   1     15  15   1 32         32 0 CODEC_MOSI          (1001-20-13)
40-0262                          U2                                72   1     16  16   1 67         67 0                     (0-0-0)
40-0262                          U2                                72   1     17  17   1 68         68 0                     (0-0-0)
40-0262                          U2                                72   1     18  18   1 69         69 0                     (0-0-0)
40-0262                          U2                                72   1     19  19   1 70         70 0                     (0-0-0)
40-0262                          U2                                72   1     20  20   1 71         71 0                     (0-0-0)
40-0262                          U2                                72   1     21  21   1 35         35 0 CODEC_nRST_2        (1001-38-13)
40-0262                          U2                                72   1     22  22   1 36         36 0 CODEC_INT_2         (1001-37-13)
40-0262                          U2                                72   1     23  23   1 91         91 0 MPU_INT             (1233-1-13)
40-0262                          U2                                72   1     24  24   1 92         92 0 MPU_SCL             (1233-2-13)
40-0262                          U2                                72   1     25  25   1 93         93 0 MPU_SDA             (1233-3-13)
40-0262                          U2                                72   1     26  26   1 95         95 0                     (0-0-0)
40-0262                          U2                                72   1     27  27   1 96         96 0                     (0-0-0)
40-0262                          U2                                72   1     28  28   1 47         47 0 CODEC_CK_2          (1001-27-13)
40-0262                          U2                                72   1     29  29   1 48         48 0                     (0-0-0)
40-0262                          U2                                72   1     30  30   1 51         51 0 CODEC_WS_2          (1001-28-13)
40-0262                          U2                                72   1     31  31   1 52         52 0                     (0-0-0)
40-0262                          U2                                72   1     32  32   1 53         53 0                     (0-0-0)
40-0262                          U2                                72   1     33  33   1 54         54 0                     (0-0-0)
40-0262                          U2                                72   1     34  34   1 15         15 0                     (0-0-0)
40-0262                          U2                                72   1     35  35   1 16         16 0                     (0-0-0)
40-0262                          U2                                72   1     36  36   1 17         17 0                     (0-0-0)
40-0262                          U2                                72   1     37  37   1 18         18 0 CODEC_DOUT_2        (1001-22-13)
40-0262                          U2                                72   1     38  38   1 33         33 0 CODEC_CS_2          (1001-51-13)
40-0262                          U2                                72   1     39  39   1 34         34 0                     (0-0-0)
40-0262                          U2                                72   1     40  40   1 63         63 0 CODEC_MCK_2         (1001-23-13)
40-0262                          U2                                72   1     41  41   1 64         64 0 CODEC_MCK_3         (1001-24-13)
40-0262                          U2                                72   1     42  42   1 65         65 0                     (0-0-0)
40-0262                          U2                                72   1     43  43   1 66         66 0                     (0-0-0)
40-0262                          U2                                72   1     44  44   1 78         78 0 CODEC_CK_3          (1001-25-13)
40-0262                          U2                                72   1     45  45   1 79         79 0                     (0-0-0)
40-0262                          U2                                72   1     46  46   1 80         80 0 CODEC_DOUT_3        (1001-26-13)
40-0262                          U2                                72   1     47  47   1 7           7 0 CODEC_INT_1         (1001-35-13)
40-0262                          U2                                72   1     48  48   1 8           8 0 CODEC_nRST_1        (1001-36-13)
40-0262                          U2                                72   1     49  49   1 9           9 0                     (0-0-0)
40-0262                          U2                                72   1     50  50   1 12         12 0 XSIG010483          (1394-2-13)
40-0262                          U2                                72   1     51  51   1 13         13 0 XSIG010482          (1394-1-13)
40-0262                          U2                                72   1     52  52   1 14         14 0 RSTn                (1001-15-13)
40-0262                          U2                                72   1     53  53   1 6           6 0 VCC                 (43-2-13)
40-0262                          U2                                72   1     54  54   1 49         49 0 XSIG010327          (1001-4-13)
40-0262                          U2                                72   1     55  55   1 73         73 0 XSIG010328          (1001-5-13)
40-0262                          U2                                72   1     56  56   1 22         22 0 VCC                 (43-2-13)
40-0262                          U2                                72   1     57  57   1 21         21 0                     (0-0-0)
40-0262                          U2                                72   2      1   1   2 100       100 0 VCC                 (43-2-13)
40-0262                          U2                                72   2      1   1   3 75         75 0 VCC                 (43-2-13)
40-0262                          U2                                72   2      1   1   4 50         50 0 VCC                 (43-2-13)
40-0262                          U2                                72   2      1   1   5 28         28 0 VCC                 (43-2-13)
40-0262                          U2                                72   2      1   1   6 19         19 0 VCC                 (43-2-13)
40-0262                          U2                                72   2      1   1   7 11         11 0 VCC                 (43-2-13)
40-0262                          U2                                72   3      1   1   8 99         99 0 GND                 (43-1-13)
40-0262                          U2                                72   3      1   1   9 74         74 0 GND                 (43-1-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0262                          U2                                72   3      1   1  10 27         27 0 GND                 (43-1-13)
40-0262                          U2                                72   3      1   1  11 10         10 0 GND                 (43-1-13)
40-0262                          U2                                72   3      1   1  12 20         20 0 GND                 (43-1-13)
40-0262                          U2                                73   4      1   1  13 81         81 0                     (0-0-0)
40-0262                          U2                                73   4      2   2  13 82         82 0                     (0-0-0)
40-0262                          U2                                73   4      3   3  13 83         83 0                     (0-0-0)
40-0262                          U2                                73   4      4   4  13 84         84 0                     (0-0-0)
40-0262                          U2                                73   4      5   5  13 85         85 0                     (0-0-0)
40-0262                          U2                                73   4      6   6  13 86         86 0 DEBUG_TX            (1001-6-13)
40-0262                          U2                                73   4      7   7  13 87         87 0 DEBUG_RX            (1001-7-13)
40-0262                          U2                                73   4      8   8  13 88         88 0                     (0-0-0)
40-0262                          U2                                73   4      9   9  13 55         55 0                     (0-0-0)
40-0262                          U2                                73   4     10  10  13 56         56 0                     (0-0-0)
40-0262                          U2                                73   4     11  11  13 57         57 0                     (0-0-0)
40-0262                          U2                                73   4     12  12  13 58         58 0                     (0-0-0)
40-0262                          U2                                73   4     13  13  13 59         59 0 CODEC_INT_3         (1001-39-13)
40-0262                          U2                                73   4     14  14  13 60         60 0 CODEC_nRST_3        (1001-40-13)
40-0262                          U2                                73   4     15  15  13 61         61 0                     (0-0-0)
40-0262                          U2                                73   4     16  16  13 62         62 0 CODEC_CS_3          (1001-52-13)
40-0262                          U2                                73   4     17  17  13 97         97 0 UART_NRF_to_STM     (1001-33-13)
40-0262                          U2                                73   4     18  18  13 98         98 0 UART_STM_to_NRF     (1001-34-13)
40-0262                          U2                                73   4     19  19  13 1           1 0 CODEC_MCK_1         (1001-29-13)
40-0262                          U2                                73   4     20  20  13 2           2 0                     (0-0-0)
40-0262                          U2                                73   4     21  21  13 3           3 0 CODEC_WS_1          (1001-30-13)
40-0262                          U2                                73   4     22  22  13 4           4 0 CODEC_CK_1          (1001-31-13)
40-0262                          U2                                73   4     23  23  13 5           5 0 CODEC_DOUT_1        (1001-32-13)
40-0262                          U2                                73   4     24  24  13 38         38 0                     (0-0-0)
40-0262                          U2                                73   4     25  25  13 39         39 0                     (0-0-0)
40-0262                          U2                                73   4     26  26  13 40         40 0                     (0-0-0)
40-0262                          U2                                73   4     27  27  13 41         41 0                     (0-0-0)
40-0262                          U2                                73   4     28  28  13 42         42 0                     (0-0-0)
40-0262                          U2                                73   4     29  29  13 43         43 0                     (0-0-0)
40-0262                          U2                                73   4     30  30  13 44         44 0                     (0-0-0)
40-0262                          U2                                73   4     31  31  13 45         45 0                     (0-0-0)
40-0262                          U2                                73   4     32  32  13 46         46 0                     (0-0-0)
70-0014                          J1                                49   1      1   1   1 1           1 0                     (0-0-0)
70-0014                          J1                                49   1      2   2   1 2           2 0 DEBUG_RX            (1001-7-13)
70-0014                          J1                                49   1      3   3   1 3           3 0 DEBUG_TX            (1001-6-13)
70-0014                          J1                                49   1      4   4   1 4           4 0 GND                 (43-1-13)
70-0068                          J6                               117   1      1   1   1 1           1 0 BOB_OUT_1           (1001-77-13)
70-0068                          J7                               116   1      1   1   1 1           1 0 BOB_IN_1            (1001-78-13)
70-0068                          J8                               115   1      1   1   1 1           1 0 BOB_OUT_2           (1049-10-13)
70-0068                          J9                               114   1      1   1   1 1           1 0 BOB_IN_2            (1049-6-13)
70-0068                          J10                              113   1      1   1   1 1           1 0 BOB_OUT_3           (1049-22-13)
70-0068                          J11                              112   1      1   1   1 1           1 0 BOB_IN_3            (1049-18-13)
70-0081                          J2                                50   1      1   1   1 1           1 0 VCC                 (43-2-13)
70-0081                          J2                                50   1      2   2   1 2           2 0 SWD_SWDIO/TMS       (1001-12-13)
70-0081                          J2                                50   1      3   3   1 3           3 0 GND                 (43-1-13)
70-0081                          J2                                50   1      4   4   1 4           4 0 SWD_SWCLK/TCK       (1001-11-13)
70-0081                          J2                                50   1      5   5   1 5           5 0 GND                 (43-1-13)
70-0081                          J2                                50   1      6   6   1 6           6 0 SWD_SWO/TDO         (1001-10-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
70-0081                          J2                                50   1      7   7   1 8           8 0 SWD_TDI             (1001-9-13)
70-0081                          J2                                50   1      8   8   1 9           9 0 GND                 (43-1-13)
70-0081                          J2                                50   1      9   9   1 10         10 0 RSTn                (1001-15-13)
70-0081                          J2                                 0   2      1   1   2 7           7 1                     (0-0-0)
70-0081                          J3                                51   1      1   1   1 1           1 0 VCC                 (43-2-13)
70-0081                          J3                                51   1      2   2   1 2           2 0 SWD_SWDIO/TMS_p02   (1001-54-13)
70-0081                          J3                                51   1      3   3   1 3           3 0 GND                 (43-1-13)
70-0081                          J3                                51   1      4   4   1 4           4 0 SWD_SWCLK/TCK_p02   (1001-53-13)
70-0081                          J3                                51   1      5   5   1 5           5 0 GND                 (43-1-13)
70-0081                          J3                                51   1      6   6   1 6           6 0                     (0-0-0)
70-0081                          J3                                51   1      7   7   1 8           8 0                     (0-0-0)
70-0081                          J3                                51   1      8   8   1 9           9 0 GND                 (43-1-13)
70-0081                          J3                                51   1      9   9   1 10         10 0                     (0-0-0)
70-0081                          J3                                 0   2      1   1   2 7           7 1                     (0-0-0)
70-0085                          J12                              134   1      1   1   1 1           1 0 XSIG020137          (1386-1-13)
70-0085                          J13                              133   1      1   1   1 1           1 0 XSIG020139          (1386-2-13)
70-0086                          J4                                46   1      1   1   1 MA          1 0 GND                 (43-1-13)
70-0086                          J4                                46   1      2   2   1 MB          2 0 GND                 (43-1-13)
70-0086                          J4                                46   1      3   3   1 1           3 0 XSIG030047          (1263-1-13)
70-0086                          J4                                46   1      4   4   1 2           4 0 GND                 (43-1-13)
80-0001                          SW1                               42   1      1   1   1 1           1 0 GND                 (43-1-13)
80-0001                          SW1                               42   1      2   1   1 2           2 0                     (0-0-0)
80-0001                          SW1                               42   1      1   1   2 3           3 0 RSTn                (1001-15-13)
80-0001                          SW1                               42   1      2   1   2 4           4 0                     (0-0-0)
80-0018                          J5                                99   1      1   1   1 2           2 0 XSIG030047          (1263-1-13)
80-0018                          J5                                99   1      2   2   1 1           1 0 VCC_BAT             (1001-66-13)
80-0018                          J5                                99   1      3   3   1 3           3 0                     (0-0-0)
80-0018                          J5                                 0   2      1   1   2 5           5 1 GND                 (43-1-13)
80-0018                          J5                                 0   2      1   1   3 6           6 1 GND                 (43-1-13)
80-0018                          J5                                 0   2      1   1   4 7           7 1 GND                 (43-1-13)
80-0018                          J5                                 0   2      1   1   5 4           4 1 GND                 (43-1-13)
80-0049                          U4                                85   1      1   1   1 3           3 0 BAL1                (1001-56-13)
80-0049                          U4                                85   1      2   2   1 4           4 0 BAL2                (1001-57-13)
80-0049                          U4                                85   1      3   3   1 1           1 0 ANT                 (1001-55-13)
80-0049                          U4                                85   2      1   1   2 5           5 0 VDD_PA              (1001-58-13)
80-0049                          U4                                85   3      1   1   3 2           2 0 GND                 (43-1-13)
80-0049                          U4                                 0   4      1   1   4 6           6 1                     (0-0-0)
80-0050                          U3                                74   1      1   1   1 1           1 0 ANT                 (1001-55-13)
80-0050                          U3                                 0   2      1   1   2 2           2 1                     (0-0-0)
81-0002                          QZ2                               86   1      1   1   1 1           1 0 XSIG020087          (1001-61-13)
81-0002                          QZ2                               86   1      2   2   1 2           2 0 XSIG020090          (1001-62-13)
81-0021                          QZ1                               87   1      1   1   1 1           1 0 XSIG010483          (1394-2-13)
81-0021                          QZ1                               87   1      2   2   1 3           3 0 XSIG010482          (1394-1-13)
81-0021                          QZ1                               87   2      1   1   2 2           2 0 GND                 (43-1-13)
81-0021                          QZ1                               87   2      1   1   3 4           4 0 GND                 (43-1-13)
81-0021                          QZ3                               88   1      1   1   1 1           1 0 XSIG020125          (1049-2-13)
81-0021                          QZ3                               88   1      2   2   1 3           3 0 XSIG020124          (1049-1-13)
81-0021                          QZ3                               88   2      1   1   2 2           2 0 GND                 (43-1-13)
81-0021                          QZ3                               88   2      1   1   3 4           4 0 GND                 (43-1-13)
