
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0011                          C76                              120   1      2   1   1 2           2 0 BOB_IN_1            (1001-78-13)
10-0011                          C77                              119   1      1   1   1 1           1 0 BOB_OUT_2           (1049-10-13)
10-0011                          C77                              119   1      2   1   1 2           2 0 BOB_IN_2            (1049-6-13)
10-0011                          C78                              118   1      1   1   1 1           1 0 BOB_OUT_3           (1049-22-13)
10-0011                          C78                              118   1      2   1   1 2           2 0 BOB_IN_3            (1049-18-13)
10-0036                          C57                               47   1      1   1   1 1           1 0 GND                 (43-1-13)
10-0036                          C57                               47   1      2   1   1 2           2 0 XSIG010327          (1001-4-13)
10-0036                          C58                               48   1      1   1   1 1           1 0 GND                 (43-1-13)
10-0036                          C58                               48   1      2   1   1 2           2 0 XSIG010328          (1001-5-13)
10-0058                          C1                                15   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C1                                15   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C2                                14   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C2                                14   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C3                                17   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C3                                17   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C4                                16   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C4                                16   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C5                                 1   1      1   1   1 1           1 0 RSTn                (1001-15-13)
10-0058                          C5                                 1   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C6                                 9   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C6                                 9   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C7                                 3   1      1   1   1 1           1 0 XSIG020066          (1001-60-13)
10-0058                          C7                                 3   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C8                                25   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C8                                25   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C9                                 7   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C9                                 7   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C10                                8   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C10                                8   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C11                                6   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C11                                6   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C12                               18   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C12                               18   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C15                                4   1      1   1   1 1           1 0 VCC_BAT             (1001-66-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0058                          C15                                4   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C17                               11   1      1   1   1 1           1 0 VCC_LNA             (1001-70-13)
10-0058                          C17                               11   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C18                               13   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C18                               13   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C19                               10   1      1   1   1 1           1 0 VCC_LNA             (1001-70-13)
10-0058                          C19                               10   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C20                               24   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C20                               24   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C21                               23   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C21                               23   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C22                               26   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C22                               26   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C24                                2   1      1   1   1 1           1 0 XSIG070015          (1241-1-13)
10-0058                          C24                                2   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C27                                5   1      1   1   1 1           1 0 VCC_LNA             (1001-70-13)
10-0058                          C27                                5   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C29                               20   1      1   1   1 1           1 0 VCC_LNA             (1001-70-13)
10-0058                          C29                               20   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C32                               12   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C32                               12   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C34                               22   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C34                               22   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C35                               21   1      1   1   1 1           1 0 VCC_LNA             (1001-70-13)
10-0058                          C35                               21   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C37                               19   1      1   1   1 1           1 0 VCC_LNA             (1001-70-13)
10-0058                          C37                               19   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0059                          C74                               98   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0059                          C74                               98   1      2   1   1 2           2 0 XSIG030034          (1001-72-13)
10-0060                          C16                               96   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0060                          C16                               96   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0060                          C23                               93   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0060                          C23                               93   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0060                          C66                               94   1      1   1   1 1           1 0 VCC_LNA             (1001-70-13)
10-0060                          C66                               94   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0060                          C68                               92   1      1   1   1 1           1 0 XSIG040039          (1001-74-13)
10-0060                          C68                               92   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0060                          C72                               91   1      1   1   1 1           1 0 XSIG050194          (1049-7-13)
10-0060                          C72                               91   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0060                          C73                               95   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0060                          C73                               95   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0060                          C75                               90   1      1   1   1 1           1 0 XSIG060194          (1049-19-13)
10-0060                          C75                               90   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0061                          C39                               83   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0061                          C39                               83   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0062                          C65                               82   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0062                          C65                               82   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0064                          C60                               77   1      1   1   1 1           1 0 XSIG020065          (1001-59-13)
10-0064                          C60                               77   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0065                          C55                               44   1      1   1   1 1           1 0 GND                 (43-1-13)
10-0065                          C55                               44   1      2   1   1 2           2 0 XSIG010482          (1394-1-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0065                          C56                               43   1      1   1   1 1           1 0 GND                 (43-1-13)
10-0065                          C56                               43   1      2   1   1 2           2 0 XSIG010483          (1394-2-13)
10-0089                          C61                               81   1      1   1   1 1           1 0 GND                 (43-1-13)
10-0089                          C61                               81   1      2   1   1 2           2 0 XSIG020124          (1049-1-13)
10-0089                          C62                               80   1      1   1   1 1           1 0 GND                 (43-1-13)
10-0089                          C62                               80   1      2   1   1 2           2 0 XSIG020125          (1049-2-13)
10-0089                          C63                               79   1      1   1   1 1           1 0 XSIG020087          (1001-61-13)
10-0089                          C63                               79   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0089                          C64                               78   1      1   1   1 1           1 0 XSIG020090          (1001-62-13)
10-0089                          C64                               78   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0103                          C13                               37   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0103                          C13                               37   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0103                          C14                               38   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0103                          C14                               38   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0103                          C38                               41   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0103                          C38                               41   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0103                          C40                               36   1      1   1   1 1           1 0 VCC_BAT             (1001-66-13)
10-0103                          C40                               36   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0103                          C41                               40   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0103                          C41                               40   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0103                          C42                               33   1      1   1   1 1           1 0 CODEC_AVDD_1        (1001-81-13)
10-0103                          C42                               33   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0103                          C43                               34   1      1   1   1 1           1 0 CODEC_DVDD_1        (1001-82-13)
10-0103                          C43                               34   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0103                          C44                               35   1      1   1   1 1           1 0 CODEC_REF_1         (1001-83-13)
10-0103                          C44                               35   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0103                          C47                               30   1      1   1   1 1           1 0 CODEC_AVDD_2        (1049-12-13)
10-0103                          C47                               30   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0103                          C48                               31   1      1   1   1 1           1 0 CODEC_DVDD_2        (1049-13-13)
10-0103                          C48                               31   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0103                          C49                               32   1      1   1   1 1           1 0 CODEC_REF_2         (1049-14-13)
10-0103                          C49                               32   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0103                          C52                               27   1      1   1   1 1           1 0 CODEC_AVDD_3        (1049-24-13)
10-0103                          C52                               27   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0103                          C53                               28   1      1   1   1 1           1 0 CODEC_DVDD_3        (1049-25-13)
10-0103                          C53                               28   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0103                          C54                               29   1      1   1   1 1           1 0 CODEC_REF_3         (1049-26-13)
10-0103                          C54                               29   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0103                          C70                               39   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0103                          C70                               39   1      2   1   1 2           2 0 GND                 (43-1-13)
20-0039                          D1                                53   1      1   1   1 A           1 0 XSIG020091          (1001-63-13)
20-0039                          D1                                53   1      2   2   1 C           2 0 GND                 (43-1-13)
20-0039                          D2                                52   1      1   1   1 A           1 0 XSIG010365          (1001-13-13)
20-0039                          D2                                52   1      2   2   1 C           2 0 GND                 (43-1-13)
20-0062                          D3                               137   1      1   1   1 1           1 0 GND                 (43-1-13)
20-0062                          D3                               137   1      2   2   1 2           2 0 VCC_LNA             (1001-70-13)
20-0062                          D3                               137   1      3   3   1 3           3 0 BOB_OUT_1           (1001-77-13)
20-0062                          D4                               136   1      1   1   1 1           1 0 GND                 (43-1-13)
20-0062                          D4                               136   1      2   2   1 2           2 0 VCC_LNA             (1001-70-13)
20-0062                          D4                               136   1      3   3   1 3           3 0 BOB_OUT_2           (1049-10-13)
20-0062                          D5                               135   1      1   1   1 1           1 0 GND                 (43-1-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
20-0062                          D5                               135   1      2   2   1 2           2 0 VCC_LNA             (1001-70-13)
20-0062                          D5                               135   1      3   3   1 3           3 0 BOB_OUT_3           (1049-22-13)
40-0115                          U6                                97   1      1   1   1 4           4 0 XSIG030034          (1001-72-13)
40-0115                          U6                                97   1      2   2   1 8           8 0 VCC_BAT             (1001-66-13)
40-0115                          U6                                97   1      3   3   1 1           1 0 VCC                 (43-2-13)
40-0115                          U6                                97   1      4   4   1 2           2 0 VCC                 (43-2-13)
40-0115                          U6                                97   1      5   5   1 5           5 0 VCC_BAT             (1001-66-13)
40-0115                          U6                                97   2      1   1   2 3           3 0 GND                 (43-1-13)
40-0115                          U6                                97   2      1   1   3 6           6 0 GND                 (43-1-13)
40-0115                          U6                                97   2      1   1   4 7           7 0 GND                 (43-1-13)
40-0223                          U5                                89   1      1   1   1 3           3 0 VCC_BAT             (1001-66-13)
40-0223                          U5                                89   1      2   2   1 1           1 0 VCC_BAT             (1001-66-13)
40-0223                          U5                                89   1      3   3   1 5           5 0 VCC_LNA             (1001-70-13)
40-0223                          U5                                89   2      1   1   2 2           2 0 GND                 (43-1-13)
40-0223                          U5                                 0   3      1   1   3 4           4 1                     (0-0-0)
40-0251                          U1                                45   1      1   1   1 31         32 0 BAL2                (1001-57-13)
40-0251                          U1                                45   1      2   2   1 32         33 0 BAL1                (1001-56-13)
40-0251                          U1                                45   1      3   3   1 35         36 0 VCC                 (43-2-13)
40-0251                          U1                                45   1      4   4   1 36         37 0 VCC                 (43-2-13)
40-0251                          U1                                45   1      5   5   1 2           3 0                     (0-0-0)
40-0251                          U1                                45   1      6   6   1 39         40 0 XSIG020066          (1001-60-13)
40-0251                          U1                                45   1      7   7   1 29         30 0 XSIG020065          (1001-59-13)
40-0251                          U1                                45   1      8   8   1 33         34 0 GND                 (43-1-13)
40-0251                          U1                                45   1      9   9   1 34         35 0 GND                 (43-1-13)
40-0251                          U1                                45   1     10  10   1 13         14 0 GND                 (43-1-13)
40-0251                          U1                                45   1     11  11   1 EXP         1 0 GND                 (43-1-13)
